                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  2.519,                  4.032,                 1.9956,                0.00235,                0.16667,                0.00159,                0.00051,                  2.316,                 3.9591,                 2.1441,              1.429e-05,              1.429e-05,              1.429e-05
                      1,                 2.3361,                  3.867,                 1.9867,                0.00204,                0.13333,                0.00131,                0.00055,                 2.3118,                 3.9552,                 2.1437,             4.2207e-05,             4.2207e-05,             4.2207e-05
                      2,                 2.2823,                 3.8739,                 1.8474,                0.00686,                    0.4,                0.00696,                0.00254,                 2.1742,                 3.9153,                 2.0243,              6.924e-05,              6.924e-05,              6.924e-05
                      3,                 1.7804,                 3.6099,                 1.6423,                0.00892,                0.46667,                0.01268,                0.00695,                 1.7803,                 3.7185,                 1.5901,             9.5388e-05,             9.5388e-05,             9.5388e-05
                      4,                 1.7103,                 3.6597,                 1.5143,                0.00911,                0.46667,                0.01576,                0.00929,                 1.5191,                 3.6802,                 1.4468,             0.00012065,             0.00012065,             0.00012065
                      5,                   1.66,                 3.4761,                 1.5698,                 0.0102,                    0.5,                0.01899,                0.01039,                 1.2751,                 3.6421,                 1.3465,             0.00014503,             0.00014503,             0.00014503
                      6,                 1.4703,                 3.3056,                 1.3938,                0.01093,                    0.5,                0.01899,                0.01019,                 1.3831,                 3.6031,                 1.3308,             0.00016853,             0.00016853,             0.00016853
                      7,                 1.3049,                 2.7841,                 1.2587,                0.01189,                    0.5,                0.01731,                0.01099,                 1.2318,                 3.5638,                 1.2348,             0.00019114,             0.00019114,             0.00019114
                      8,                 1.2737,                 2.7236,                 1.1903,                0.01295,                    0.5,                0.05014,                0.01631,                 1.1763,                 3.5264,                 1.1877,             0.00021287,             0.00021287,             0.00021287
                      9,                 1.3696,                 2.2527,                 1.1369,                0.01344,                    0.5,                0.17439,                0.08714,                 1.1683,                 3.4442,                 1.1839,             0.00023371,             0.00023371,             0.00023371
                     10,                 1.2917,                 1.9301,                 1.1737,                0.01359,                    0.5,                 0.2375,                0.11837,                 1.1914,                 3.3284,                 1.2032,             0.00025367,             0.00025367,             0.00025367
                     11,                 1.4094,                 2.0753,                 1.3408,                0.01359,                    0.5,                 0.2375,                0.11837,                 1.1914,                 3.3284,                 1.2032,             0.00027274,             0.00027274,             0.00027274
                     12,                 1.2824,                 1.8062,                 1.1766,                0.01374,                    0.5,                0.49562,                0.36783,                 1.0857,                 3.1161,                  1.183,             0.00029094,             0.00029094,             0.00029094
                     13,                 1.3586,                 1.6679,                 1.2588,                0.01459,                    0.5,                0.46612,                0.38406,                 1.0507,                 2.9099,                 1.1753,             0.00030824,             0.00030824,             0.00030824
                     14,                 1.2063,                 1.5199,                  1.138,                0.01459,                    0.5,                0.46612,                0.38406,                 1.0507,                 2.9099,                 1.1753,             0.00032466,             0.00032466,             0.00032466
                     15,                  1.113,                 1.5877,                 1.1328,                0.01559,                    0.5,                0.46691,                0.38355,                 1.0676,                 2.7421,                 1.1604,              0.0003402,              0.0003402,              0.0003402
                     16,                 1.1366,                 1.7758,                 1.0662,                      1,                0.28345,                0.49397,                0.39736,                 1.1078,                 2.5964,                 1.1893,             0.00035486,             0.00035486,             0.00035486
                     17,                 1.2286,                 1.5387,                 1.1721,                      1,                0.28345,                0.49397,                0.39736,                 1.1078,                 2.5964,                 1.1893,             0.00036863,             0.00036863,             0.00036863
                     18,                 1.0333,                 1.3655,                  1.066,                      1,                0.28076,                 0.4975,                0.39203,                 1.1148,                 2.4807,                 1.2212,             0.00038151,             0.00038151,             0.00038151
                     19,                 1.0513,                 1.2003,                 1.0687,                      1,                0.28076,                 0.4975,                0.39203,                 1.1148,                 2.4807,                 1.2212,             0.00039351,             0.00039351,             0.00039351
                     20,                 1.1299,                 1.2762,                 1.1626,                      1,                0.28307,                 0.4873,                0.37585,                 1.1686,                 2.4313,                 1.2222,             0.00040463,             0.00040463,             0.00040463
                     21,                 1.2054,                 1.3648,                 1.1695,                      1,                0.28307,                 0.4873,                0.37585,                 1.1686,                 2.4313,                 1.2222,             0.00041486,             0.00041486,             0.00041486
                     22,                  1.011,                 1.2158,                 1.0335,                      1,                0.29809,                0.45495,                0.32286,                 1.1429,                 2.3835,                 1.1944,             0.00042421,             0.00042421,             0.00042421
                     23,                 1.1172,                 1.2869,                 1.0795,                      1,                0.29809,                0.45495,                0.32286,                 1.1429,                 2.3835,                 1.1944,             0.00043268,             0.00043268,             0.00043268
                     24,                 1.0892,                 1.2137,                 1.0638,                0.93985,                0.33333,                0.45675,                0.33134,                 1.1258,                  2.223,                 1.1858,             0.00044026,             0.00044026,             0.00044026
                     25,                 1.1207,                 1.1469,                 1.0703,                0.93985,                0.33333,                0.45675,                0.33134,                 1.1258,                  2.223,                 1.1858,             0.00044695,             0.00044695,             0.00044695
                     26,                 1.1501,                 1.3076,                 1.1793,                0.93985,                0.33333,                0.45675,                0.33134,                 1.1258,                  2.223,                 1.1858,             0.00045277,             0.00045277,             0.00045277
                     27,                 1.2585,                 1.3926,                 1.3001,                      1,                 0.3767,                0.65243,                0.45175,                 1.1515,                  2.084,                 1.2077,             0.00045769,             0.00045769,             0.00045769
                     28,                 1.2064,                  1.063,                  1.135,                      1,                 0.3767,                0.65243,                0.45175,                 1.1515,                  2.084,                 1.2077,             0.00046174,             0.00046174,             0.00046174
                     29,                 1.0606,                 1.1006,                 1.1204,                      1,                0.40542,                0.82545,                0.56093,                  1.112,                 2.0841,                 1.2091,              0.0004649,              0.0004649,              0.0004649
                     30,                 1.0911,                 1.1328,                 1.1207,                      1,                0.40542,                0.82545,                0.56093,                  1.112,                 2.0841,                 1.2091,             0.00046717,             0.00046717,             0.00046717
                     31,                 1.1412,                 1.0874,                 1.1205,                      1,                0.40542,                0.82545,                0.56093,                  1.112,                 2.0841,                 1.2091,             0.00046856,             0.00046856,             0.00046856
                     32,                 1.1498,                 1.0441,                 1.1141,                      1,                0.41347,                0.81553,                0.56658,                 1.0226,                 2.0987,                 1.1418,             0.00046907,             0.00046907,             0.00046907
                     33,                 1.0991,                  1.018,                 1.0867,                      1,                0.41347,                0.81553,                0.56658,                 1.0226,                 2.0987,                 1.1418,             0.00046869,             0.00046869,             0.00046869
                     34,                 1.0995,                 1.1991,                 1.0799,                      1,                0.41347,                0.81553,                0.56658,                 1.0226,                 2.0987,                 1.1418,             0.00046743,             0.00046743,             0.00046743
                     35,                 1.2218,                 1.1649,                 1.2139,                      1,                0.36587,                0.60262,                0.45128,                 0.9621,                 2.1345,                 1.0823,             0.00046528,             0.00046528,             0.00046528
                     36,                 1.0816,                0.98059,                 1.0179,                      1,                0.36587,                0.60262,                0.45128,                 0.9621,                 2.1345,                 1.0823,             0.00046225,             0.00046225,             0.00046225
                     37,                 1.1358,                 1.0997,                 1.1109,                      1,                0.36587,                0.60262,                0.45128,                 0.9621,                 2.1345,                 1.0823,             0.00045834,             0.00045834,             0.00045834
                     38,                 1.4033,                  1.113,                  1.195,                      1,                0.44088,                0.60049,                0.42465,                0.98338,                 2.0779,                 1.0898,             0.00045354,             0.00045354,             0.00045354
                     39,                 1.0949,                 1.0003,                  1.017,                      1,                0.44088,                0.60049,                0.42465,                0.98338,                 2.0779,                 1.0898,             0.00044786,             0.00044786,             0.00044786
                     40,                 1.1685,                  1.059,                 1.0657,                      1,                0.44088,                0.60049,                0.42465,                0.98338,                 2.0779,                 1.0898,             0.00044129,             0.00044129,             0.00044129
                     41,                  1.048,                0.98319,                0.99221,                0.98314,                    0.5,                0.73966,                 0.4683,                0.99683,                 1.8431,                 1.1062,             0.00043384,             0.00043384,             0.00043384
                     42,                 1.1006,                0.97575,                 1.0462,                0.98314,                    0.5,                0.73966,                 0.4683,                0.99683,                 1.8431,                 1.1062,             0.00042551,             0.00042551,             0.00042551
                     43,                0.99802,                 1.0633,                 1.0291,                0.98314,                    0.5,                0.73966,                 0.4683,                0.99683,                 1.8431,                 1.1062,             0.00041629,             0.00041629,             0.00041629
                     44,                 1.0107,                 1.1076,                 1.0754,                0.98314,                    0.5,                0.73966,                 0.4683,                0.99683,                 1.8431,                 1.1062,             0.00040618,             0.00040618,             0.00040618
                     45,                 1.0175,                  1.003,                 1.0589,                0.97451,                    0.5,                0.82663,                 0.4717,                 1.1115,                 1.5434,                 1.1845,              0.0003952,              0.0003952,              0.0003952
                     46,                   1.05,                 1.0165,                 1.0852,                0.97451,                    0.5,                0.82663,                 0.4717,                 1.1115,                 1.5434,                 1.1845,             0.00038332,             0.00038332,             0.00038332
                     47,                0.99403,                0.91959,                  1.033,                0.97451,                    0.5,                0.82663,                 0.4717,                 1.1115,                 1.5434,                 1.1845,             0.00037057,             0.00037057,             0.00037057
                     48,                 1.1158,                 1.0761,                 1.0411,                0.97451,                    0.5,                0.82663,                 0.4717,                 1.1115,                 1.5434,                 1.1845,             0.00035693,             0.00035693,             0.00035693
                     49,                 1.1284,                 1.1413,                 1.1626,                0.97201,                    0.5,                0.94405,                0.55583,                 1.0937,                 1.2272,                 1.1862,              0.0003424,              0.0003424,              0.0003424
                     50,                 1.0942,                 1.1893,                 1.1139,                0.97201,                    0.5,                0.94405,                0.55583,                 1.0937,                 1.2272,                 1.1862,             0.00032376,             0.00032376,             0.00032376
                     51,                 1.2307,                 1.1359,                 1.1265,                0.97201,                    0.5,                0.94405,                0.55583,                 1.0937,                 1.2272,                 1.1862,             0.00032376,             0.00032376,             0.00032376
                     52,                 1.1923,                 1.0864,                 1.1339,                0.97201,                    0.5,                0.94405,                0.55583,                 1.0937,                 1.2272,                 1.1862,             0.00030165,             0.00030165,             0.00030165
                     53,                 1.0753,                0.99228,                 1.0368,                0.96893,                0.74914,                  0.975,                0.58993,                  1.096,                 1.0371,                 1.1827,             0.00027955,             0.00027955,             0.00027955
                     54,                  1.113,                0.87908,                 1.0541,                0.96893,                0.74914,                  0.975,                0.58993,                  1.096,                 1.0371,                 1.1827,             0.00025744,             0.00025744,             0.00025744
                     55,                 1.0447,                0.91751,                0.99565,                0.96893,                0.74914,                  0.975,                0.58993,                  1.096,                 1.0371,                 1.1827,             0.00023534,             0.00023534,             0.00023534
                     56,                 1.0616,                 1.1311,                 1.1299,                0.96893,                0.74914,                  0.975,                0.58993,                  1.096,                 1.0371,                 1.1827,             0.00021323,             0.00021323,             0.00021323
                     57,                 1.1181,                0.98313,                 1.0597,                0.96908,                0.91667,                  0.975,                0.59976,                 1.0541,                0.94838,                 1.1709,             0.00019113,             0.00019113,             0.00019113
                     58,                 1.0231,                0.92779,                 1.0247,                0.96908,                0.91667,                  0.975,                0.59976,                 1.0541,                0.94838,                 1.1709,             0.00016902,             0.00016902,             0.00016902
                     59,                0.89852,                 0.8454,                0.96594,                0.96908,                0.91667,                  0.975,                0.59976,                 1.0541,                0.94838,                 1.1709,             0.00014692,             0.00014692,             0.00014692
                     60,                 1.0139,                 1.0041,                 1.0321,                0.96908,                0.91667,                  0.975,                0.59976,                 1.0541,                0.94838,                 1.1709,             0.00012481,             0.00012481,             0.00012481
                     61,                0.99772,                0.98068,                 1.0307,                0.97178,                0.90057,                  0.995,                0.62459,                 1.0337,                0.88659,                 1.1624,             0.00010271,             0.00010271,             0.00010271
                     62,                0.89947,                0.85126,                0.98806,                0.97178,                0.90057,                  0.995,                0.62459,                 1.0337,                0.88659,                 1.1624,             8.0605e-05,             8.0605e-05,             8.0605e-05
                     63,                0.97561,                0.99664,                 1.1038,                0.97178,                0.90057,                  0.995,                0.62459,                 1.0337,                0.88659,                 1.1624,               5.85e-05,               5.85e-05,               5.85e-05
