                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.5178,                  12.45,                 2.3561,                      0,                      0,                      0,                      0,                 2.7344,                 9.2242,                 2.6941,              4.998e-05,              4.998e-05,              4.998e-05
                      1,                 2.3664,                 8.7794,                 2.0239,                0.13098,                0.11077,                0.11214,                0.06052,                 1.7561,                 34.156,                 1.5589,             0.00010675,             0.00010675,             0.00010675
                      2,                 1.6205,                 3.6192,                 1.3948,                 0.4575,                 0.4144,                0.44153,                 0.2661,                 1.4469,                 5.2585,                  1.334,             0.00016314,             0.00016314,             0.00016314
                      3,                 1.4478,                   2.51,                 1.2719,                0.56949,                0.40318,                0.49947,                0.31602,                 1.4517,                 3.6798,                 1.2768,             0.00021915,             0.00021915,             0.00021915
                      4,                 1.3599,                 2.0045,                 1.1984,                0.73006,                0.39255,                0.57528,                0.39589,                 1.3366,                 2.8432,                 1.2438,             0.00027478,             0.00027478,             0.00027478
                      5,                 1.3455,                 1.9098,                 1.1951,                0.59277,                0.38829,                0.51599,                0.35437,                 1.4039,                 2.6904,                 1.3061,             0.00033004,             0.00033004,             0.00033004
                      6,                 1.3454,                 1.7572,                 1.1821,                0.75242,                0.37686,                0.58093,                0.39806,                 1.3369,                 2.2146,                  1.234,             0.00038492,             0.00038492,             0.00038492
                      7,                 1.2743,                 1.6296,                 1.1673,                0.68897,                0.53244,                 0.6478,                0.45182,                 1.2456,                 2.2389,                 1.1804,             0.00043943,             0.00043943,             0.00043943
                      8,                 1.3236,                 1.4599,                 1.1851,                0.77097,                0.69811,                0.74742,                 0.5381,                   1.18,                 1.5913,                 1.1511,             0.00049356,             0.00049356,             0.00049356
                      9,                 1.2114,                 1.2326,                 1.1067,                  0.777,                0.46104,                0.64763,                0.47693,                 1.2078,                  1.503,                 1.1554,             0.00054731,             0.00054731,             0.00054731
                     10,                 1.2148,                 1.2687,                 1.1428,                0.58311,                0.34296,                0.47377,                0.33224,                 1.2771,                 1.6561,                  1.207,             0.00060068,             0.00060068,             0.00060068
                     11,                 1.2325,                 1.2377,                 1.1576,                0.63071,                0.39239,                0.53837,                0.36263,                 1.3169,                 1.5731,                 1.2696,             0.00065368,             0.00065368,             0.00065368
